Commodity Code,group_id, description,transaction
19011091,1, ?????????? ???????????,IM
19019011,1, ?????????? ???????????,IM
19019091,1, ?????????? ???????????,IM
21069071,1, ?????????? ???????????,IM
21069072,1, ?????????? ???????????,IM
21069073,1, ?????????? ???????????,IM
21069081,1, ?????????? ???????????,IM
21069091,1, ?????????? ???????????,IM
21069096,1, ?????????? ???????????,IM
30012000,1, ?????????? ???????????,IM
30019000,1, ?????????? ???????????,IM
30021210,1, ?????????? ???????????,IM
30021290,1, ?????????? ???????????,IM
30021300,1, ?????????? ???????????,IM
30021400,1, ?????????? ???????????,IM
30021500,1, ?????????? ???????????,IM
30024110,1, ?????????? ???????????,IM
30024120,1, ?????????? ???????????,IM
30024190,1, ?????????? ???????????,IM
30024200,1, ?????????? ???????????,IM
30024900,1, ?????????? ???????????,IM
30025100,1, ?????????? ???????????,IM
30025900,1, ?????????? ???????????,IM
30029000,1, ?????????? ???????????,IM
30031010,1, ?????????? ???????????,IM
30031020,1, ?????????? ???????????,IM
30031090,1, ?????????? ???????????,IM
30032000,1, ?????????? ???????????,IM
30033100,1, ?????????? ???????????,IM
30033900,1, ?????????? ???????????,IM
30034100,1, ?????????? ???????????,IM
30034200,1, ?????????? ???????????,IM
30034300,1, ?????????? ???????????,IM
30034900,1, ?????????? ???????????,IM
30036000,1, ?????????? ???????????,IM
30039000,1, ?????????? ???????????,IM
30041015,1, ?????????? ???????????,IM
30041016,1, ?????????? ???????????,IM
30041019,1, ?????????? ???????????,IM
30041020,1, ?????????? ???????????,IM
30042010,1, ?????????? ???????????,IM
30042031,1, ?????????? ???????????,IM
30042032,1, ?????????? ???????????,IM
30042039,1, ?????????? ???????????,IM
30042071,1, ?????????? ???????????,IM
30042079,1, ?????????? ???????????,IM
30042091,1, ?????????? ???????????,IM
30042099,1, ?????????? ???????????,IM
30043100,1, ?????????? ???????????,IM
30043210,1, ?????????? ???????????,IM
30043240,1, ?????????? ???????????,IM
30043290,1, ?????????? ???????????,IM
30043900,1, ?????????? ???????????,IM
30044100,1, ?????????? ???????????,IM
30044200,1, ?????????? ???????????,IM
30044300,1, ?????????? ???????????,IM
30044911,1, ?????????? ???????????,IM
30044919,1, ?????????? ???????????,IM
30044951,1, ?????????? ???????????,IM
30044959,1, ?????????? ???????????,IM
30044960,1, ?????????? ???????????,IM
30044970,1, ?????????? ???????????,IM
30044980,1, ?????????? ???????????,IM
30044990,1, ?????????? ???????????,IM
30045010,1, ?????????? ???????????,IM
30045021,1, ?????????? ???????????,IM
30045029,1, ?????????? ???????????,IM
30045091,1, ?????????? ???????????,IM
30045099,1, ?????????? ???????????,IM
30046010,1, ?????????? ???????????,IM
30046020,1, ?????????? ???????????,IM
30046090,1, ?????????? ???????????,IM
30049010,1, ?????????? ???????????,IM
30049020,1, ?????????? ???????????,IM
30049030,1, ?????????? ???????????,IM
30049041,1, ?????????? ???????????,IM
30049049,1, ?????????? ???????????,IM
30049051,1, ?????????? ???????????,IM
30049053,1, ?????????? ???????????,IM
30049054,1, ?????????? ???????????,IM
30049055,1, ?????????? ???????????,IM
30049059,1, ?????????? ???????????,IM
30049062,1, ?????????? ???????????,IM
30049064,1, ?????????? ???????????,IM
30049065,1, ?????????? ???????????,IM
30049069,1, ?????????? ???????????,IM
30049071,1, ?????????? ???????????,IM
30049072,1, ?????????? ???????????,IM
30049079,1, ?????????? ???????????,IM
30049081,1, ?????????? ???????????,IM
30049082,1, ?????????? ???????????,IM
30049089,1, ?????????? ???????????,IM
30049091,1, ?????????? ???????????,IM
30049092,1, ?????????? ???????????,IM
30049093,1, ?????????? ???????????,IM
30049094,1, ?????????? ???????????,IM
30049095,1, ?????????? ???????????,IM
30049096,1, ?????????? ???????????,IM
30049098,1, ?????????? ???????????,IM
30049099,1, ?????????? ???????????,IM
30051010,1, ?????????? ???????????,IM
30051090,1, ?????????? ???????????,IM
24021000,2, ????,IM
24022010,2, ????,IM
24022020,2, ????,IM
24022090,2, ????,IM
24029010,2, ????,IM
24029020,2, ????,IM
22029100,3,???????,IM
22030011,3,???????,IM
22030019,3,???????,IM
22030091,3,???????,IM
22030099,3,???????,IM
22041000,4, ?????????,IM
22042111,4, ?????????,IM
22042113,4, ?????????,IM
22042114,4, ?????????,IM
22042121,4, ?????????,IM
22042122,4, ?????????,IM
22042211,4, ?????????,IM
22042212,4, ?????????,IM
22042213,4, ?????????,IM
22042221,4, ?????????,IM
22042222,4, ?????????,IM
22042911,4, ?????????,IM
22042912,4, ?????????,IM
22042921,4, ?????????,IM
22042922,4, ?????????,IM
22043010,4, ?????????,IM
22043020,4, ?????????,IM
22051010,4, ?????????,IM
22051020,4, ?????????,IM
22059010,4, ?????????,IM
22059020,4, ?????????,IM
22060010,4, ?????????,IM
22060020,4, ?????????,IM
22060031,4, ?????????,IM
22060039,4, ?????????,IM
22060041,4, ?????????,IM
22060049,4, ?????????,IM
22060050,4, ?????????,IM
22060060,4, ?????????,IM
22060091,4, ?????????,IM
22060099,4, ?????????,IM
22071000,4, ?????????,IM
22072011,4, ?????????,IM
22072019,4, ?????????,IM
22072090,4, ?????????,IM
22082050,4, ?????????,IM
22082090,4, ?????????,IM
22083010,4, ?????????,IM
22083090,4, ?????????,IM
22084000,4, ?????????,IM
22085000,4, ?????????,IM
22086000,4, ?????????,IM
22087010,4, ?????????,IM
22087090,4, ?????????,IM
22089010,4, ?????????,IM
22089020,4, ?????????,IM
22089030,4, ?????????,IM
22089040,4, ?????????,IM
22089050,4, ?????????,IM
22089060,4, ?????????,IM
22089070,4, ?????????,IM
22089080,4, ?????????,IM
22089091,4, ?????????,IM
22089099,4, ?????????,IM
22011010,5, ???????????,IM
22011020,5, ???????????,IM
22019090,5, ???????????,IM
20091100,6, ??????????? ?????????????,IM
20091200,6, ??????????? ?????????????,IM
20091900,6, ??????????? ?????????????,IM
20092100,6, ??????????? ?????????????,IM
20092900,6, ??????????? ?????????????,IM
20093100,6, ??????????? ?????????????,IM
20093900,6, ??????????? ?????????????,IM
20094100,6, ??????????? ?????????????,IM
20094900,6, ??????????? ?????????????,IM
20095000,6, ??????????? ?????????????,IM
20096100,6, ??????????? ?????????????,IM
20096900,6, ??????????? ?????????????,IM
20097100,6, ??????????? ?????????????,IM
20097900,6, ??????????? ?????????????,IM
20098110,6, ??????????? ?????????????,IM
20098190,6, ??????????? ?????????????,IM
20098910,6, ??????????? ?????????????,IM
20098920,6, ??????????? ?????????????,IM
20098930,6, ??????????? ?????????????,IM
20098940,6, ??????????? ?????????????,IM
20098991,6, ??????????? ?????????????,IM
20098999,6, ??????????? ?????????????,IM
20099010,6, ??????????? ?????????????,IM
20099091,6, ??????????? ?????????????,IM
20099099,6, ??????????? ?????????????,IM
22021020,7, ???????????????,IM
22021030,7, ???????????????,IM
22021090,7, ???????????????,IM
22029910,7, ???????????????,IM
22029920,7, ???????????????,IM
22029930,7, ???????????????,IM
22029940,7, ???????????????,IM
22029950,7, ???????????????,IM
22029990,7, ???????????????,IM
29224220,8, ??????,IM
17011200,9, ?????,IM
17011300,9, ?????,IM
17011400,9, ?????,IM
17019100,9, ?????,IM
17019910,9, ?????,IM
17019990,9, ?????,IM
15071000,10, ???????,IM
15079010,10, ???????,IM
15079020,10, ???????,IM
15079090,10, ???????,IM
15081000,10, ???????,IM
15089000,10, ???????,IM
15092010,10, ???????,IM
15092090,10, ???????,IM
15093000,10, ???????,IM
15094000,10, ???????,IM
15099011,10, ???????,IM
15099019,10, ???????,IM
15099091,10, ???????,IM
15099099,10, ???????,IM
15101000,10, ???????,IM
15109010,10, ???????,IM
15109020,10, ???????,IM
15109090,10, ???????,IM
15111000,10, ???????,IM
15119020,10, ???????,IM
15119031,10, ???????,IM
15119032,10, ???????,IM
15119036,10, ???????,IM
15119037,10, ???????,IM
15119039,10, ???????,IM
15119041,10, ???????,IM
15119042,10, ???????,IM
15119049,10, ???????,IM
15121100,10, ???????,IM
15121910,10, ???????,IM
15121920,10, ???????,IM
15121990,10, ???????,IM
15122100,10, ???????,IM
15122910,10, ???????,IM
15122990,10, ???????,IM
15131110,10, ???????,IM
15131190,10, ???????,IM
15131910,10, ???????,IM
15131990,10, ???????,IM
15132110,10, ???????,IM
15132190,10, ???????,IM
15132911,10, ???????,IM
15132912,10, ???????,IM
15132913,10, ???????,IM
15132914,10, ???????,IM
15132991,10, ???????,IM
15132992,10, ???????,IM
15132994,10, ???????,IM
15132995,10, ???????,IM
15132996,10, ???????,IM
15132997,10, ???????,IM
15141100,10, ???????,IM
15141910,10, ???????,IM
15141920,10, ???????,IM
15141990,10, ???????,IM
15149100,10, ???????,IM
15149910,10, ???????,IM
15149990,10, ???????,IM
15151100,10, ???????,IM
15151900,10, ???????,IM
15152100,10, ???????,IM
15152911,10, ???????,IM
15152919,10, ???????,IM
15152991,10, ???????,IM
15152999,10, ???????,IM
15153010,10, ???????,IM
15153090,10, ???????,IM
15155010,10, ???????,IM
15155020,10, ???????,IM
15155090,10, ???????,IM
15156000,10, ???????,IM
15159011,10, ???????,IM
15159012,10, ???????,IM
15159019,10, ???????,IM
15159021,10, ???????,IM
15159022,10, ???????,IM
15159029,10, ???????,IM
15159031,10, ???????,IM
15159032,10, ???????,IM
15159039,10, ???????,IM
15159091,10, ???????,IM
15159092,10, ???????,IM
15159099,10, ???????,IM
15161020,10, ???????,IM
15161090,10, ???????,IM
15162011,10, ???????,IM
15162012,10, ???????,IM
15162014,10, ???????,IM
15162017,10, ???????,IM
15162018,10, ???????,IM
15162019,10, ???????,IM
15162021,10, ???????,IM
15162022,10, ???????,IM
15162023,10, ???????,IM
15162024,10, ???????,IM
15162025,10, ???????,IM
15162026,10, ???????,IM
15162029,10, ???????,IM
15162031,10, ???????,IM
15162032,10, ???????,IM
15162033,10, ???????,IM
15162034,10, ???????,IM
15162035,10, ???????,IM
15162039,10, ???????,IM
15162041,10, ???????,IM
15162042,10, ???????,IM
15162043,10, ???????,IM
15162044,10, ???????,IM
15162045,10, ???????,IM
15162046,10, ???????,IM
15162047,10, ???????,IM
15162048,10, ???????,IM
15162049,10, ???????,IM
15162051,10, ???????,IM
15162052,10, ???????,IM
15162053,10, ???????,IM
15162054,10, ???????,IM
15162059,10, ???????,IM
15162061,10, ???????,IM
15162062,10, ???????,IM
15162069,10, ???????,IM
15162091,10, ???????,IM
15162092,10, ???????,IM
15162093,10, ???????,IM
15162094,10, ???????,IM
15162096,10, ???????,IM
15162098,10, ???????,IM
15162099,10, ???????,IM
15163000,10, ???????,IM
15179050,10, ???????,IM
15179061,10, ???????,IM
15179062,10, ???????,IM
15179063,10, ???????,IM
15179064,10, ???????,IM
15179065,10, ???????,IM
15179066,10, ???????,IM
15179067,10, ???????,IM
15179068,10, ???????,IM
15179069,10, ???????,IM
15179080,10, ???????,IM
15179090,10, ???????,IM
15180012,10, ???????,IM
15180014,10, ???????,IM
15180015,10, ???????,IM
15180016,10, ???????,IM
15180019,10, ???????,IM
15180020,10, ???????,IM
15180032,10, ???????,IM
15180033,10, ???????,IM
15180034,10, ???????,IM
15180035,10, ???????,IM
15180036,10, ???????,IM
15180037,10, ???????,IM
15180038,10, ???????,IM
15180039,10, ???????,IM
15180060,10, ???????,IM
15180090,10, ???????,IM
02011000,11, ?????????? ??????,IM
02012000,11, ?????????? ??????,IM
02013000,11, ?????????? ??????,IM
02021000,11, ?????????? ??????,IM
02022000,11, ?????????? ??????,IM
02023000,11, ?????????? ??????,IM
02031100,11, ?????????? ??????,IM
02031200,11, ?????????? ??????,IM
02031900,11, ?????????? ??????,IM
02032100,11, ?????????? ??????,IM
02032200,11, ?????????? ??????,IM
02032900,11, ?????????? ??????,IM
02041000,11, ?????????? ??????,IM
02042100,11, ?????????? ??????,IM
02042200,11, ?????????? ??????,IM
02042300,11, ?????????? ??????,IM
02043000,11, ?????????? ??????,IM
02044100,11, ?????????? ??????,IM
02044200,11, ?????????? ??????,IM
02044300,11, ?????????? ??????,IM
02045000,11, ?????????? ??????,IM
02050000,11, ?????????? ??????,IM
02061000,11, ?????????? ??????,IM
02062100,11, ?????????? ??????,IM
02062200,11, ?????????? ??????,IM
02062900,11, ?????????? ??????,IM
02063000,11, ?????????? ??????,IM
02064100,11, ?????????? ??????,IM
02064900,11, ?????????? ??????,IM
02068000,11, ?????????? ??????,IM
02069000,11, ?????????? ??????,IM
02071100,11, ?????????? ??????,IM
02071200,11, ?????????? ??????,IM
02071300,11, ?????????? ??????,IM
02071410,11, ?????????? ??????,IM
02071420,11, ?????????? ??????,IM
02071430,11, ?????????? ??????,IM
02071491,11, ?????????? ??????,IM
02071499,11, ?????????? ??????,IM
02072400,11, ?????????? ??????,IM
02072500,11, ?????????? ??????,IM
02072600,11, ?????????? ??????,IM
02072710,11, ?????????? ??????,IM
02072791,11, ?????????? ??????,IM
02072799,11, ?????????? ??????,IM
02074100,11, ?????????? ??????,IM
02074200,11, ?????????? ??????,IM
02074300,11, ?????????? ??????,IM
02074400,11, ?????????? ??????,IM
02074510,11, ?????????? ??????,IM
02074590,11, ?????????? ??????,IM
02075100,11, ?????????? ??????,IM
02075200,11, ?????????? ??????,IM
02075300,11, ?????????? ??????,IM
02075400,11, ?????????? ??????,IM
02075510,11, ?????????? ??????,IM
02075590,11, ?????????? ??????,IM
02076010,11, ?????????? ??????,IM
02076020,11, ?????????? ??????,IM
02076030,11, ?????????? ??????,IM
02076040,11, ?????????? ??????,IM
02081000,11, ?????????? ??????,IM
02083000,11, ?????????? ??????,IM
02084010,11, ?????????? ??????,IM
02084090,11, ?????????? ??????,IM
02085000,11, ?????????? ??????,IM
02086000,11, ?????????? ??????,IM
02089010,11, ?????????? ??????,IM
02089090,11, ?????????? ??????,IM
02091000,11, ?????????? ??????,IM
02099000,11, ?????????? ??????,IM
02101100,11, ?????????? ??????,IM
02101200,11, ?????????? ??????,IM
02101930,11, ?????????? ??????,IM
02101990,11, ?????????? ??????,IM
02102000,11, ?????????? ??????,IM
02109100,11, ?????????? ??????,IM
02109210,11, ?????????? ??????,IM
02109290,11, ?????????? ??????,IM
02109300,11, ?????????? ??????,IM
02109910,11, ?????????? ??????,IM
02109920,11, ?????????? ??????,IM
02109990,11, ?????????? ??????,IM
03011110,11, ?????????? ??????,IM
03011191,11, ?????????? ??????,IM
03011192,11, ?????????? ??????,IM
03011193,11, ?????????? ??????,IM
03011195,11, ?????????? ??????,IM
03011199,11, ?????????? ??????,IM
03011910,11, ?????????? ??????,IM
03011990,11, ?????????? ??????,IM
03019100,11, ?????????? ??????,IM
03019200,11, ?????????? ??????,IM
03019321,11, ?????????? ??????,IM
03019322,11, ?????????? ??????,IM
03019329,11, ?????????? ??????,IM
03019331,11, ?????????? ??????,IM
03019332,11, ?????????? ??????,IM
03019339,11, ?????????? ??????,IM
03019400,11, ?????????? ??????,IM
03019500,11, ?????????? ??????,IM
03019911,11, ?????????? ??????,IM
03019919,11, ?????????? ??????,IM
03019922,11, ?????????? ??????,IM
03019923,11, ?????????? ??????,IM
03019924,11, ?????????? ??????,IM
03019929,11, ?????????? ??????,IM
03019931,11, ?????????? ??????,IM
03019932,11, ?????????? ??????,IM
03019933,11, ?????????? ??????,IM
03019934,11, ?????????? ??????,IM
03019935,11, ?????????? ??????,IM
03019936,11, ?????????? ??????,IM
03019941,11, ?????????? ??????,IM
03019942,11, ?????????? ??????,IM
03019949,11, ?????????? ??????,IM
03019950,11, ?????????? ??????,IM
03019990,11, ?????????? ??????,IM
03021100,11, ?????????? ??????,IM
03021300,11, ?????????? ??????,IM
03021400,11, ?????????? ??????,IM
03021900,11, ?????????? ??????,IM
03022100,11, ?????????? ??????,IM
03022200,11, ?????????? ??????,IM
03022300,11, ?????????? ??????,IM
03022400,11, ?????????? ??????,IM
03022900,11, ?????????? ??????,IM
03023100,11, ?????????? ??????,IM
03023200,11, ?????????? ??????,IM
03023300,11, ?????????? ??????,IM
03023400,11, ?????????? ??????,IM
03023500,11, ?????????? ??????,IM
03023600,11, ?????????? ??????,IM
03023900,11, ?????????? ??????,IM
03024100,11, ?????????? ??????,IM
03024200,11, ?????????? ??????,IM
03024300,11, ?????????? ??????,IM
03024400,11, ?????????? ??????,IM
03024500,11, ?????????? ??????,IM
03024600,11, ?????????? ??????,IM
03024700,11, ?????????? ??????,IM
03024900,11, ?????????? ??????,IM
03025100,11, ?????????? ??????,IM
03025200,11, ?????????? ??????,IM
03025300,11, ?????????? ??????,IM
03025400,11, ?????????? ??????,IM
03025500,11, ?????????? ??????,IM
03025600,11, ?????????? ??????,IM
03025900,11, ?????????? ??????,IM
03027100,11, ?????????? ??????,IM
03027210,11, ?????????? ??????,IM
03027290,11, ?????????? ??????,IM
03027300,11, ?????????? ??????,IM
03027400,11, ?????????? ??????,IM
03027900,11, ?????????? ??????,IM
03028100,11, ?????????? ??????,IM
03028200,11, ?????????? ??????,IM
03028300,11, ?????????? ??????,IM
03028400,11, ?????????? ??????,IM
03028500,11, ?????????? ??????,IM
03028911,11, ?????????? ??????,IM
03028912,11, ?????????? ??????,IM
03028913,11, ?????????? ??????,IM
03028914,11, ?????????? ??????,IM
03028915,11, ?????????? ??????,IM
03028916,11, ?????????? ??????,IM
03028917,11, ?????????? ??????,IM
03028918,11, ?????????? ??????,IM
03028919,11, ?????????? ??????,IM
03028922,11, ?????????? ??????,IM
03028923,11, ?????????? ??????,IM
03028927,11, ?????????? ??????,IM
03028928,11, ?????????? ??????,IM
03028929,11, ?????????? ??????,IM
03029100,11, ?????????? ??????,IM
03029200,11, ?????????? ??????,IM
03029900,11, ?????????? ??????,IM
03031100,11, ?????????? ??????,IM
03031200,11, ?????????? ??????,IM
03031300,11, ?????????? ??????,IM
03031400,11, ?????????? ??????,IM
03031900,11, ?????????? ??????,IM
03032300,11, ?????????? ??????,IM
03032400,11, ?????????? ??????,IM
03032500,11, ?????????? ??????,IM
03032600,11, ?????????? ??????,IM
03032900,11, ?????????? ??????,IM
03033100,11, ?????????? ??????,IM
03033200,11, ?????????? ??????,IM
03033300,11, ?????????? ??????,IM
03033400,11, ?????????? ??????,IM
03033900,11, ?????????? ??????,IM
03034100,11, ?????????? ??????,IM
03034200,11, ?????????? ??????,IM
03034300,11, ?????????? ??????,IM
03034400,11, ?????????? ??????,IM
03034510,11, ?????????? ??????,IM
03034590,11, ?????????? ??????,IM
03034600,11, ?????????? ??????,IM
03034910,11, ?????????? ??????,IM
03034990,11, ?????????? ??????,IM
03035100,11, ?????????? ??????,IM
03035300,11, ?????????? ??????,IM
03035410,11, ?????????? ??????,IM
03035420,11, ?????????? ??????,IM
03035500,11, ?????????? ??????,IM
03035600,11, ?????????? ??????,IM
03035700,11, ?????????? ??????,IM
03035910,11, ?????????? ??????,IM
03035920,11, ?????????? ??????,IM
03035990,11, ?????????? ??????,IM
03036300,11, ?????????? ??????,IM
03036400,11, ?????????? ??????,IM
03036500,11, ?????????? ??????,IM
03036600,11, ?????????? ??????,IM
03036700,11, ?????????? ??????,IM
03036800,11, ?????????? ??????,IM
03036900,11, ?????????? ??????,IM
03038100,11, ?????????? ??????,IM
03038200,11, ?????????? ??????,IM
03038300,11, ?????????? ??????,IM
03038400,11, ?????????? ??????,IM
03038911,11, ?????????? ??????,IM
03038913,11, ?????????? ??????,IM
03038914,11, ?????????? ??????,IM
03038915,11, ?????????? ??????,IM
03038916,11, ?????????? ??????,IM
03038917,11, ?????????? ??????,IM
03038918,11, ?????????? ??????,IM
03038919,11, ?????????? ??????,IM
03038922,11, ?????????? ??????,IM
03038923,11, ?????????? ??????,IM
03038924,11, ?????????? ??????,IM
03038927,11, ?????????? ??????,IM
03038928,11, ?????????? ??????,IM
03038929,11, ?????????? ??????,IM
03039100,11, ?????????? ??????,IM
03039200,11, ?????????? ??????,IM
03039900,11, ?????????? ??????,IM
03043100,11, ?????????? ??????,IM
03043200,11, ?????????? ??????,IM
03043300,11, ?????????? ??????,IM
03043900,11, ?????????? ??????,IM
03044100,11, ?????????? ??????,IM
03044200,11, ?????????? ??????,IM
03044300,11, ?????????? ??????,IM
03044400,11, ?????????? ??????,IM
03044500,11, ?????????? ??????,IM
03044600,11, ?????????? ??????,IM
03044700,11, ?????????? ??????,IM
03044800,11, ?????????? ??????,IM
03044900,11, ?????????? ??????,IM
03045100,11, ?????????? ??????,IM
03045200,11, ?????????? ??????,IM
03045300,11, ?????????? ??????,IM
03045400,11, ?????????? ??????,IM
03045500,11, ?????????? ??????,IM
03045600,11, ?????????? ??????,IM
03045700,11, ?????????? ??????,IM
03045900,11, ?????????? ??????,IM
03046100,11, ?????????? ??????,IM
03046200,11, ?????????? ??????,IM
03046300,11, ?????????? ??????,IM
03046900,11, ?????????? ??????,IM
03047100,11, ?????????? ??????,IM
03047200,11, ?????????? ??????,IM
03047300,11, ?????????? ??????,IM
03047400,11, ?????????? ??????,IM
03047500,11, ?????????? ??????,IM
03047900,11, ?????????? ??????,IM
03048100,11, ?????????? ??????,IM
03048200,11, ?????????? ??????,IM
03048300,11, ?????????? ??????,IM
03048400,11, ?????????? ??????,IM
03048500,11, ?????????? ??????,IM
03048600,11, ?????????? ??????,IM
03048700,11, ?????????? ??????,IM
03048800,11, ?????????? ??????,IM
03048910,11, ?????????? ??????,IM
03048990,11, ?????????? ??????,IM
03049100,11, ?????????? ??????,IM
03049200,11, ?????????? ??????,IM
03049300,11, ?????????? ??????,IM
03049400,11, ?????????? ??????,IM
03049500,11, ?????????? ??????,IM
03049600,11, ?????????? ??????,IM
03049700,11, ?????????? ??????,IM
03049910,11, ?????????? ??????,IM
03049990,11, ?????????? ??????,IM
03052010,11, ?????????? ??????,IM
03052090,11, ?????????? ??????,IM
03053100,11, ?????????? ??????,IM
03053200,11, ?????????? ??????,IM
03053910,11, ?????????? ??????,IM
03053920,11, ?????????? ??????,IM
03053991,11, ?????????? ??????,IM
03053992,11, ?????????? ??????,IM
03053999,11, ?????????? ??????,IM
03054100,11, ?????????? ??????,IM
03054200,11, ?????????? ??????,IM
03054300,11, ?????????? ??????,IM
03054400,11, ?????????? ??????,IM
03054910,11, ?????????? ??????,IM
03054990,11, ?????????? ??????,IM
03055100,11, ?????????? ??????,IM
03055200,11, ?????????? ??????,IM
03055300,11, ?????????? ??????,IM
03055400,11, ?????????? ??????,IM
03055921,11, ?????????? ??????,IM
03055929,11, ?????????? ??????,IM
03055990,11, ?????????? ??????,IM
03056100,11, ?????????? ??????,IM
03056200,11, ?????????? ??????,IM
03056300,11, ?????????? ??????,IM
03056400,11, ?????????? ??????,IM
03056910,11, ?????????? ??????,IM
03056990,11, ?????????? ??????,IM
03057110,11, ?????????? ??????,IM
03057190,11, ?????????? ??????,IM
03057211,11, ?????????? ??????,IM
03057219,11, ?????????? ??????,IM
03057291,11, ?????????? ??????,IM
03057299,11, ?????????? ??????,IM
03057910,11, ?????????? ??????,IM
03057990,11, ?????????? ??????,IM
03061110,11, ?????????? ??????,IM
03061190,11, ?????????? ??????,IM
03061210,11, ?????????? ??????,IM
03061290,11, ?????????? ??????,IM
03061411,11, ?????????? ??????,IM
03061419,11, ?????????? ??????,IM
03061491,11, ?????????? ??????,IM
03061492,11, ?????????? ??????,IM
03061493,11, ?????????? ??????,IM
03061499,11, ?????????? ??????,IM
03061500,11, ?????????? ??????,IM
03061600,11, ?????????? ??????,IM
03061711,11, ?????????? ??????,IM
03061719,11, ?????????? ??????,IM
03061721,11, ?????????? ??????,IM
03061722,11, ?????????? ??????,IM
03061729,11, ?????????? ??????,IM
03061730,11, ?????????? ??????,IM
03061790,11, ?????????? ??????,IM
03061900,11, ?????????? ??????,IM
03063110,11, ?????????? ??????,IM
03063120,11, ?????????? ??????,IM
03063130,11, ?????????? ??????,IM
03063210,11, ?????????? ??????,IM
03063220,11, ?????????? ??????,IM
03063230,11, ?????????? ??????,IM
03063311,11, ?????????? ??????,IM
03063312,11, ?????????? ??????,IM
03063391,11, ?????????? ??????,IM
03063392,11, ?????????? ??????,IM
03063400,11, ?????????? ??????,IM
03063510,11, ?????????? ??????,IM
03063520,11, ?????????? ??????,IM
03063530,11, ?????????? ??????,IM
03063611,11, ?????????? ??????,IM
03063612,11, ?????????? ??????,IM
03063613,11, ?????????? ??????,IM
03063619,11, ?????????? ??????,IM
03063621,11, ?????????? ??????,IM
03063622,11, ?????????? ??????,IM
03063623,11, ?????????? ??????,IM
03063629,11, ?????????? ??????,IM
03063631,11, ?????????? ??????,IM
03063632,11, ?????????? ??????,IM
03063633,11, ?????????? ??????,IM
03063639,11, ?????????? ??????,IM
03063910,11, ?????????? ??????,IM
03063920,11, ?????????? ??????,IM
03069121,11, ?????????? ??????,IM
03069129,11, ?????????? ??????,IM
03069131,11, ?????????? ??????,IM
03069139,11, ?????????? ??????,IM
03069221,11, ?????????? ??????,IM
03069229,11, ?????????? ??????,IM
03069231,11, ?????????? ??????,IM
03069239,11, ?????????? ??????,IM
03069321,11, ?????????? ??????,IM
03069329,11, ?????????? ??????,IM
03069331,11, ?????????? ??????,IM
03069339,11, ?????????? ??????,IM
03069421,11, ?????????? ??????,IM
03069429,11, ?????????? ??????,IM
03069431,11, ?????????? ??????,IM
03069439,11, ?????????? ??????,IM
03069521,11, ?????????? ??????,IM
03069529,11, ?????????? ??????,IM
03069530,11, ?????????? ??????,IM
03069921,11, ?????????? ??????,IM
03069929,11, ?????????? ??????,IM
03069931,11, ?????????? ??????,IM
03069939,11, ?????????? ??????,IM
03071110,11, ?????????? ??????,IM
03071120,11, ?????????? ??????,IM
03071200,11, ?????????? ??????,IM
03071920,11, ?????????? ??????,IM
03071930,11, ?????????? ??????,IM
03072110,11, ?????????? ??????,IM
03072120,11, ?????????? ??????,IM
03072200,11, ?????????? ??????,IM
03072930,11, ?????????? ??????,IM
03072940,11, ?????????? ??????,IM
03073110,11, ?????????? ??????,IM
03073120,11, ?????????? ??????,IM
03073200,11, ?????????? ??????,IM
03073930,11, ?????????? ??????,IM
03073940,11, ?????????? ??????,IM
03074211,11, ?????????? ??????,IM
03074219,11, ?????????? ??????,IM
03074221,11, ?????????? ??????,IM
03074229,11, ?????????? ??????,IM
03074310,11, ?????????? ??????,IM
03074390,11, ?????????? ??????,IM
03074921,11, ?????????? ??????,IM
03074929,11, ?????????? ??????,IM
03074931,11, ?????????? ??????,IM
03074939,11, ?????????? ??????,IM
03075110,11, ?????????? ??????,IM
03075120,11, ?????????? ??????,IM
03075200,11, ?????????? ??????,IM
03075920,11, ?????????? ??????,IM
