hs_code,stamp_kind,short_description
15180019,Cooking Oil (cans or bottle),cooking_oil
15089000,Cooking Oil (cans or bottle),cooking_oil
19023040,Cans Noodles,can_noodles
19023090,Cans Noodles,can_noodles
19021930,Cans Noodles,can_noodles
16041510,Cans Fish/Meat/Fisheriesproducts,fisheries_product
11010019,Flour (sack or package),flour
21039012,Sauces,sauces
21031000,Sauces,sauces
29224220,Seasoning (carton or sack),seasoning
85166090,ELECTRIC STOVE,electric_stove
17019990,Eating Products,eating_products
17049099,Eating Products,eating_products
8013200,Eating Products,eating_products
21011119,Eating Products,eating_products
19059090,Cake (carton or container>10L),cake
19059030,Cake (carton or container>10L),cake
